model,scenario,index,region,year,value,units
CESM,G6-1.5K-SAI,SU,NH_midlat,2060,137.13362822355109,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2060,117.8271962669613,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2060,162.8080784435874,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2060,38.33715255587191,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2060,35.41080227188614,days
CESM,G6-1.5K-SAI,SU,NH_midlat,2061,136.37772349591603,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2061,117.2295002197142,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2061,168.39749630209712,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2061,32.64529944677741,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2061,36.07358946669305,days
CESM,G6-1.5K-SAI,SU,NH_midlat,2062,137.10667175900406,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2062,117.03160032186912,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2062,165.67608534989844,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2062,39.630751427303316,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2062,35.60459511691053,days
CESM,G6-1.5K-SAI,SU,NH_midlat,2063,136.87652343629884,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2063,117.26344017660067,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2063,165.32663213511154,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2063,37.037734476650876,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2063,36.41080227188615,days
CESM,G6-1.5K-SAI,SU,NH_midlat,2064,136.41080399016397,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2064,116.57126708239232,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2064,165.68246999106975,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2064,34.247045209114304,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2064,34.80808664158431,days
CESM,G6-1.5K-SAI,SU,NH_midlat,2065,138.00174844463973,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2065,117.75195292479704,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2065,165.31051225365798,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2065,37.435988714313986,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2065,36.20149153942272,days
CESM,G6-1.5K-SAI,SU,NH_midlat,2066,136.7413383289615,days
CESM,G6-1.5K-SAI,SU,Euro_Atlantic,2066,117.43135248931573,days
CESM,G6-1.5K-SAI,SU,Mediterranean,2066,161.1140396341547,days
CESM,G6-1.5K-SAI,SU,Eurasia_high,2066,37.040644080545704,days
CESM,G6-1.5K-SAI,SU,Northern_Europe,2066,35.20925048314224,days
CESM,G6-1.5K-SAI,ID,NH_midlat,2060,21.269448307386067,days
CESM,G6-1.5K-SAI,ID,Euro_Atlantic,2060,40.40273341036482,days
CESM,G6-1.5K-SAI,ID,Mediterranean,2060,3.518553691524129,days
CESM,G6-1.5K-SAI,ID,Eurasia_high,2060,85.49427116619212,days
CESM,G6-1.5K-SAI,ID,Northern_Europe,2060,100.54852352290756,days
CESM,G6-1.5K-SAI,ID,NH_midlat,2061,20.79889232766517,days
CESM,G6-1.5K-SAI,ID,Euro_Atlantic,2061,39.42926829552624,days
CESM,G6-1.5K-SAI,ID,Mediterranean,2061,4.436437263226075,days
CESM,G6-1.5K-SAI,ID,Eurasia_high,2061,91.99427116619212,days
CESM,G6-1.5K-SAI,ID,Northern_Europe,2061,99.28108096186894,days
CESM,G6-1.5K-SAI,ID,NH_midlat,2062,21.67932083466462,days
CESM,G6-1.5K-SAI,ID,Euro_Atlantic,2062,40.10070540547306,days
CESM,G6-1.5K-SAI,ID,Mediterranean,2062,4.283456667942418,days
CESM,G6-1.5K-SAI,ID,Eurasia_high,2062,91.29077964151836,days
CESM,G6-1.5K-SAI,ID,Northern_Europe,2062,99.55240299476732,days
CESM,G6-1.5K-SAI,ID,NH_midlat,2063,20.230183556928196,days
CESM,G6-1.5K-SAI,ID,Euro_Atlantic,2063,39.162482306060134,days
CESM,G6-1.5K-SAI,ID,Mediterranean,2063,4.283456667942418,days
CESM,G6-1.5K-SAI,ID,Eurasia_high,2063,88.58437851294975,days
CESM,G6-1.5K-SAI,ID,Northern_Europe,2063,95.4283803938974,days
CESM,G6-1.5K-SAI,ID,NH_midlat,2064,20.500138783511016,days
CESM,G6-1.5K-SAI,ID,Euro_Atlantic,2064,39.228541754447804,days
CESM,G6-1.5K-SAI,ID,Mediterranean,2064,4.00486762014112,days
CESM,G6-1.5K-SAI,ID,Eurasia_high,2064,82.98263275061285,days
CESM,G6-1.5K-SAI,ID,Northern_Europe,2064,96.48457248654273,days
CESM,G6-1.5K-SAI,ID,NH_midlat,2065,20.155601968785042,days
CESM,G6-1.5K-SAI,ID,Euro_Atlantic,2065,39.041396898328024,days
